                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.36174,                 0.1911,                0.94133,                0.96669,                0.97564,                0.98258,                0.82588,                0.56506,                0.22764,                0.65883,              0.0041095,              0.0041095,              0.0041095
                    121,                  0.364,                0.19276,                0.94114,                0.97851,                0.96275,                0.98324,                0.82493,                0.56617,                 0.2319,                0.66236,                0.00406,                0.00406,                0.00406
                    122,                0.35641,                0.18793,                0.93812,                0.97473,                0.96762,                0.98004,                0.82057,                0.56764,                0.23142,                0.66339,              0.0040105,              0.0040105,              0.0040105
                    123,                 0.3557,                0.19047,                0.94092,                0.97556,                0.96705,                0.98082,                0.82298,                 0.5638,                  0.233,                0.65887,               0.003961,               0.003961,               0.003961
                    124,                0.35095,                0.18521,                0.93203,                0.97336,                0.96749,                0.97961,                0.82217,                 0.5598,                0.21884,                0.65249,              0.0039115,              0.0039115,              0.0039115
                    125,                0.35802,                0.18745,                0.93254,                0.97072,                0.96924,                 0.9799,                0.82155,                0.55892,                0.21781,                0.64997,               0.003862,               0.003862,               0.003862
                    126,                 0.3544,                0.18762,                0.93783,                0.96798,                0.96562,                0.97955,                0.82005,                 0.5586,                0.21843,                0.64684,              0.0038125,              0.0038125,              0.0038125
                    127,                0.35698,                0.18738,                0.93858,                0.96906,                0.96348,                0.97824,                0.81991,                0.56021,                0.23001,                0.65166,               0.003763,               0.003763,               0.003763
                    128,                0.34516,                 0.1814,                0.93535,                0.96785,                  0.967,                 0.9781,                0.82072,                0.56156,                0.24063,                0.65252,              0.0037135,              0.0037135,              0.0037135
                    129,                0.35109,                0.18453,                0.93799,                0.96535,                0.96705,                0.97741,                0.82028,                0.56311,                0.23614,                0.65501,               0.003664,               0.003664,               0.003664
                    130,                0.34729,                0.18161,                0.93299,                 0.9691,                0.96415,                0.97789,                0.81974,                0.56352,                0.23626,                0.65541,              0.0036145,              0.0036145,              0.0036145
                    131,                0.35049,                0.18279,                0.93699,                 0.9664,                0.96419,                0.97753,                0.82181,                0.56427,                0.23763,                 0.6534,               0.003565,               0.003565,               0.003565
                    132,                0.34804,                0.18463,                0.93634,                0.96763,                0.96252,                0.97819,                0.82174,                 0.5647,                0.23918,                0.65342,              0.0035155,              0.0035155,              0.0035155
                    133,                0.34635,                0.18325,                0.93655,                 0.9662,                0.96106,                0.97732,                0.81973,                0.56407,                0.23764,                0.65421,               0.003466,               0.003466,               0.003466
                    134,                0.34478,                0.18194,                0.93177,                0.96764,                 0.9624,                0.97626,                 0.8192,                0.56507,                0.23715,                0.65587,              0.0034165,              0.0034165,              0.0034165
                    135,                0.33484,                0.17639,                0.93178,                0.96959,                0.96132,                0.97627,                0.81858,                0.56361,                0.23378,                0.65444,               0.003367,               0.003367,               0.003367
                    136,                0.34593,                0.18097,                0.93121,                0.96901,                0.96275,                0.97652,                0.81758,                0.56286,                0.23553,                0.65408,              0.0033175,              0.0033175,              0.0033175
